order_id,order_item_id,product_id,seller_id,price,freight_value
O007,1,P005,S005,399.0,34.72
O004,1,P006,S001,1199.0,30.76
O004,2,P001,S004,799.9,29.74
O005,1,P002,S005,2499.0,13.7
O015,1,P006,S004,1199.0,13.74
O007,2,P008,S002,79.9,11.86
O004,3,P009,S005,899.0,22.55
O007,3,P010,S002,349.0,18.78
O003,1,P009,S001,899.0,21.32
O014,1,P002,S002,2499.0,12.13
O013,1,P007,S004,599.0,24.1
O007,4,P010,S005,349.0,34.9
O005,2,P009,S001,899.0,31.24
O011,1,P002,S005,2499.0,26.41
O013,2,P005,S003,399.0,28.75
O002,1,P005,S004,399.0,19.74
O001,1,P005,S002,399.0,34.24
O009,1,P002,S003,2499.0,31.5
O014,2,P009,S002,899.0,24.44
O006,1,P003,S005,89.9,22.56
O015,2,P001,S004,799.9,24.17
O001,2,P002,S003,2499.0,33.09
O004,4,P001,S005,799.9,14.5
O002,2,P002,S001,2499.0,27.76
O013,3,P009,S002,899.0,28.68
