order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_customer_date,order_estimated_delivery_date
O001,C007,delivered,2023-11-29 00:00:00,2023-11-29 12:00:00,2023-12-10 12:00:00,2023-12-15 12:00:00
O002,C008,delivered,2023-08-18 00:00:00,2023-08-18 10:00:00,2023-08-25 10:00:00,2023-08-28 10:00:00
O003,C006,delivered,2023-12-24 00:00:00,2023-12-24 07:00:00,2024-01-01 07:00:00,2024-01-07 07:00:00
O004,C005,delivered,2023-04-21 00:00:00,2023-04-21 06:00:00,2023-04-25 06:00:00,2023-05-02 06:00:00
O005,C013,delivered,2023-02-19 00:00:00,2023-02-19 06:00:00,2023-02-27 06:00:00,2023-03-10 06:00:00
O006,C009,delivered,2023-01-23 00:00:00,2023-01-23 12:00:00,2023-02-02 12:00:00,2023-02-10 12:00:00
O007,C004,delivered,2023-07-13 00:00:00,2023-07-13 02:00:00,2023-07-24 02:00:00,2023-07-27 02:00:00
O008,C020,delivered,2023-07-05 00:00:00,2023-07-05 10:00:00,2023-07-11 10:00:00,2023-07-16 10:00:00
O009,C002,delivered,2023-12-05 00:00:00,2023-12-05 04:00:00,2023-12-20 04:00:00,2023-12-19 04:00:00
O010,C003,delivered,2023-04-30 00:00:00,2023-04-30 02:00:00,2023-05-09 02:00:00,2023-05-14 02:00:00
O011,C015,shipped,2023-11-22 00:00:00,2023-11-22 06:00:00,,2023-12-04 06:00:00
O012,C012,shipped,2023-07-01 00:00:00,2023-07-01 04:00:00,,2023-07-21 04:00:00
O013,C009,processing,2023-12-26 00:00:00,2023-12-26 11:00:00,,2024-01-15 11:00:00
O014,C003,processing,2023-11-08 00:00:00,2023-11-08 11:00:00,,2023-11-20 11:00:00
O015,C018,canceled,2023-05-06 00:00:00,2023-05-06 03:00:00,,2023-05-23 03:00:00
